0.010000,1.010000,0.990000,1.009899,0.989901,1.009950,0.989950,1.009950,0.989950,1.009899,0.989901,1.009950,0.989950
0.060000,1.058480,0.938520,1.057845,0.937957,1.058164,0.938237,1.058165,0.938237,1.057845,0.937957,1.058165,0.938235
0.110000,1.104338,0.884668,1.103124,0.883696,1.103734,0.884179,1.103734,0.884178,1.103124,0.883696,1.103736,0.884176
0.160000,1.147459,0.828578,1.145624,0.827253,1.146544,0.827911,1.146545,0.827909,1.145624,0.827253,1.146548,0.827906
0.210000,1.187732,0.770388,1.185240,0.768772,1.186489,0.769573,1.186491,0.769571,1.185240,0.768772,1.186494,0.769567
0.260000,1.225056,0.710243,1.221875,0.708399,1.223469,0.709312,1.223471,0.709309,1.221875,0.708398,1.223474,0.709304
0.310000,1.259336,0.648292,1.255438,0.646285,1.257391,0.647278,1.257392,0.647275,1.255438,0.646285,1.257396,0.647268
0.360000,1.290485,0.584689,1.285848,0.582588,1.288169,0.583626,1.288171,0.583623,1.285847,0.582588,1.288175,0.583615
0.410000,1.318423,0.519593,1.313029,0.517468,1.315728,0.518516,1.315730,0.518511,1.313028,0.517467,1.315734,0.518503
0.460000,1.343079,0.453166,1.336915,0.451086,1.339999,0.452110,1.340001,0.452104,1.336915,0.451086,1.340004,0.452094
0.510000,1.364390,0.385572,1.357449,0.383611,1.360920,0.384573,1.360922,0.384567,1.357449,0.383611,1.360925,0.384556
0.560000,1.382300,0.316981,1.374581,0.315211,1.378440,0.316075,1.378441,0.316069,1.374581,0.315211,1.378444,0.316056
0.610000,1.396764,0.247563,1.388270,0.246057,1.392514,0.246788,1.392515,0.246781,1.388269,0.246057,1.392518,0.246766
0.660000,1.407743,0.177491,1.398483,0.176323,1.403108,0.176883,1.403109,0.176875,1.398482,0.176323,1.403111,0.176860
0.710000,1.415208,0.106940,1.405196,0.106184,1.410195,0.106536,1.410196,0.106528,1.405195,0.106184,1.410197,0.106511
0.760000,1.419139,0.036087,1.408395,0.035814,1.413757,0.035924,1.413757,0.035915,1.408394,0.035814,1.413758,0.035897
0.810000,1.419524,-0.034892,1.408073,-0.034610,1.413786,-0.034779,1.413786,-0.034789,1.408071,-0.034610,1.413785,-0.034808
0.860000,1.416360,-0.105819,1.404232,-0.104913,1.410281,-0.105395,1.410280,-0.105405,1.404231,-0.104913,1.410279,-0.105425
0.910000,1.409654,-0.176517,1.396885,-0.174918,1.403251,-0.175747,1.403249,-0.175758,1.396884,-0.174918,1.403247,-0.175779
0.960000,1.399420,-0.246809,1.386051,-0.244451,1.392714,-0.245660,1.392712,-0.245672,1.386049,-0.244451,1.392708,-0.245694
1.010000,1.385683,-0.316519,1.371759,-0.313338,1.378695,-0.314960,1.378693,-0.314971,1.371757,-0.313338,1.378687,-0.314994
