FP_3,FP_6,BIN_3,BIN_6
0.00039,0.16222,0.16381,1.29800
0.03135,0.24008,0.18175,1.72517
0.03135,0.33431,0.24000,1.75850
0.05497,0.39661,0.24000,2.04159
0.15244,0.49309,0.24000,2.25409
0.17869,0.49309,0.24000,2.39979
0.24000,0.60242,0.31253,2.51267
0.24000,0.60242,0.39415,2.57764
0.31244,0.72519,0.60367,2.79265
5.29483,2.55830,0.86289,3.33945
